PLACE,CODE,pop,1990,,
Afghanistan,AFG,6931,361,,
Algeria,DZA,8812,653,,
Angola,AGO,315394,27913,,
Argentina,ARG,109710,25927,,
Australia,AUS,26854,13950,,
Azerbaijan,AZE,10659,62,,
Bahamas,BHS,8112,2263,,
Bangladesh,BGD,9636,18,,
Belarus,BLR,35226,25,,
Belize,BLZ,3552,37,,
Benin,BEN,69068,5093,,
Bolivia,BOL,18213,5592,,
Botswana,BWA,348928,41816,,
Brazil,BRA,826698,292071,,
Burkina Faso,BFA,95283,149584,,
Burundi,BDI,77390,23933,,
Cote d'Ivoire,CIV,464662,207740,,
Cameroon,CMR,619216,120860,,
Cape Verde,CPV,3223,1193,,
Central African Republic,CAF,118776,61549,,
Chad,TCD,165590,34383,,
Colombia,COL,145966,18934,,
Costa Rica,CRI,10044,1383,,
Cuba,CUB,21935,566,,
Democratic Republic of the Congo,COD,374097,311001,,
Djibouti,DJI,9372,515,,
Dominican Republic,DOM,67880,20183,,
Ecuador,ECU,29113,9274,,
Egypt,EGY,11493,238,,
El Salvador,SLV,19847,3435,,
Equatorial Guinea,GNQ,27391,1583,,
Eritrea,ERI,14139,4184,,
Gabon,GAB,46691,4941,,
Gambia,GMB,20503,1003,,
Georgia,GEO,9642,537,,
Ghana,GHA,274562,115230,,
Greece,GRC,16156,6540,,
Guatemala,GTM,54585,797,,
Guinea,GIN,116802,14771,,
Guyana,GUY,7776,260,,
Haiti,HTI,133519,77140,,
Honduras,HND,20027,41971,,
Indonesia,IDN,692777,89,,
"Iran, Islamic Republic of",IRN,73175,2541,,
Italy,ITA,136785,2,,
Jamaica,JAM,29038,11147,,
Kazakhstan,KAZ,23134,249,,
Kenya,KEN,1517670,695409,,
Kyrgyzstan,KGZ,8098,45,,
Latvia,LVA,6844,883,,
Lesotho,LSO,308068,19540,,
Liberia,LBR,30205,7081,,
Madagascar,MDG,47903,1759,,
Malawi,MWI,976281,417118,,
Malaysia,MYS,91648,9508,,
Mali,MLI,124169,78281,,
Mauritania,MRT,13687,2500,,
Mexico,MEX,198239,47515,,
Mongolia,MNG,413,0,,
Morocco,MAR,24309,1528,,
Mozambique,MOZ,1505910,92277,,
Myanmar,MMR,224795,10032,,
Namibia,NAM,210847,10041,,
Nepal,NPL,39397,13,,
Nicaragua,NIC,9925,5416,,
Niger,NER,48951,8982,,
Nigeria,NGA,3455700,704359,,
Pakistan,PAK,102042,2374,,
Panama,PAN,17101,3643,,
Papua New Guinea,PNG,40110,1384,,
Paraguay,PRY,17499,2722,,
Peru,PER,66195,55648,,
Philippines,PHL,42453,133,,
"Moldova, Republic of",MDA,17985,271,,
Rwanda,RWA,201875,172873,,
Senegal,SEN,45795,6200,,
Sierra Leone,SLE,51065,319,,
Somalia,SOM,30206,2472,,
South Africa,ZAF,6984580,209099,,
South Sudan,SSD,179120,4317,,
Spain,ESP,148879,81049,,
Sri Lanka,LKA,4158,48,,
Sudan,SDN,55920,2201,,
Suriname,SUR,3809,323,,
Swaziland,SWZ,218550,8224,,
Tajikistan,TJK,16185,209,,
Thailand,THA,438101,143363,,
Togo,TGO,106260,23039,,
Trinidad and Tobago,TTO,10812,2669,,
Uganda,UGA,1461740,1071590,,
Ukraine,UKR,218972,14984,,
United Republic of Tanzania,TZA,1385780,621206,,
Uruguay,URY,10137,1722,,
Uzbekistan,UZB,32704,75,,
Venezuela,VEN,107329,255,,
Viet Nam,VNM,255113,312,,
Yemen,YEM,9194,926,,
Zambia,ZMB,1211880,521629,,
Zimbabwe,ZWE,1425760,788461,,
