name,code,yr2015,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yrchange
Afghanistan,AFG,6931,361,474,612,769,935,1096,1264,1428,1554,1700,1881,2085,2316,2567,2826,3069,3294,3533,3828,4150,4489,4884,5346,5851,6384,6570
Algeria,DZA,8812,653,748,855,977,1114,1269,1443,1637,1856,2100,2372,2672,3004,3366,3757,4174,4629,5182,5759,6343,6905,7430,7884,8243,8555,8159
Angola,AGO,315394,27913,33479,40037,47673,56373,65826,76238,87212,98892,111147,124152,137493,150956,164250,177573,190626,203436,216294,229907,243657,256497,269387,281867,293103,304245,287481
Argentina,ARG,109710,25927,30622,35047,39168,42954,46540,50631,54675,58466,62311,66127,69851,73473,76993,80416,83742,86945,90018,92974,95909,98615,100876,103014,105181,107419,83783
Australia,AUS,26854,13950,14072,14116,14100,14053,13990,14061,14297,14528,14887,15291,15682,16076,16489,17220,18048,18675,19188,19695,20505,21480,22479,23496,24564,25727,12904
Azerbaijan,AZE,10659,62,81,106,137,187,271,386,557,799,1101,1453,1834,2228,2623,3029,3498,4060,4685,5344,6046,6779,7520,8278,9057,9857,10597
Bahamas,BHS,8112,2263,2680,3101,3509,3891,4224,4507,4746,4952,5135,5317,5488,5642,5789,6014,6242,6466,6702,6934,7146,7380,7603,7760,7870,7943,5849
Bangladesh,BGD,9636,18,30,49,74,113,166,240,351,508,735,1057,1501,2099,2793,3554,4369,5148,5926,6694,7413,8073,8598,9010,9290,9504,9618
Belarus,BLR,35226,25,54,111,213,396,705,1198,1911,2899,4123,5595,7214,8964,10768,12558,14196,15738,17151,18393,19740,21178,22979,25199,27967,31337,35201
Belize,BLZ,3552,37,54,79,114,167,244,359,525,759,1079,1487,1961,2421,2788,3029,3152,3214,3244,3247,3244,3281,3330,3388,3439,3495,3515
Benin,BEN,69068,5093,8132,12174,17081,22623,28613,34658,40477,45894,50658,54615,57729,59991,61443,62212,62382,62099,61312,61025,62516,63890,65043,66211,67415,68235,63975
Bolivia,BOL,18213,5592,6866,8160,9444,10622,11674,12538,13212,13644,13862,13958,13949,13849,13810,13816,13935,14199,14530,14955,15478,16010,16494,16881,17329,17766,12621
Botswana,BWA,348928,41816,61017,84840,112330,141751,171188,198430,222302,241563,256372,267100,274119,278084,280515,283382,287943,293709,300019,305915,311932,318390,325075,331821,337929,343575,307112
Brazil,BRA,826698,292071,311617,326985,340234,352268,363478,376565,392152,410724,433165,456119,479362,503076,527161,551673,576788,601872,626817,651613,676383,701341,726406,751567,776320,801381,534627
Burkina Faso,BFA,95283,149584,164727,176646,185161,189990,190843,188981,184118,177295,168720,159165,149166,139306,129835,121318,114222,108965,104874,101446,99425,97872,96989,96584,96274,95773,-54301
Burundi,BDI,77390,23933,31706,41404,52341,63581,75034,85243,94328,102126,108483,113582,116147,117386,116563,114443,111673,108511,104609,100627,96785,92728,89096,85819,82912,80095,53457
Cote d'Ivoire,CIV,464662,207740,247894,290775,334564,378941,421062,459189,491905,517110,534094,541739,541668,536257,525851,512487,499338,489049,479928,472622,467508,465540,470307,472247,470724,467971,256922
Cameroon,CMR,619216,120860,153887,190412,229286,269134,308480,345877,380340,411115,437852,460441,478944,493614,504850,513808,524093,534155,542765,553309,565098,575805,586382,596537,606632,614314,498356
Cape Verde,CPV,3223,1193,1405,1634,1878,2134,2397,2655,2907,3133,3328,3484,3595,3654,3669,3643,3584,3533,3477,3421,3367,3301,3244,3204,3187,3192,2030
Central African Republic,CAF,118776,61549,76005,91963,108760,125672,141637,155904,167210,175703,180799,182278,180845,177022,171423,164754,157788,151036,144897,140201,137084,133750,130428,127055,123876,120840,57227
Chad,TCD,165590,34383,40969,48318,56489,65438,75847,86794,98374,110422,122589,134768,146132,156256,164549,170762,174501,176026,176595,176185,176752,176842,175771,173385,170495,167957,131207
Colombia,COL,145966,18934,22916,27118,31234,35139,38946,42806,46796,50931,55199,59565,64031,68824,73968,79249,84602,90147,96397,102968,108811,113751,118585,124395,131211,138379,127032
